ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query
83,"['E09r1', 'E09r10', 'E09r11', 'E09r2', 'E09r3', 'E09r4', 'E09r5', 'E09r6', 'E09r7', 'E09r8', 'E09r9']",,Uniqueness,,,Yes,
84,"['D03r1', 'D03r10', 'D03r11', 'D03r12', 'D03r13', 'D03r15', 'D03r16', 'D03r17', 'D03r18', 'D03r19', 'D03r2', 'D03r20', 'D03r21', 'D03r22', 'D03r3', 'D03r4', 'D03r5', 'D03r6', 'D03r7', 'D03r8', 'D03r9', 'D03r99']",D03r99,Count,,,Yes,
85,"['D07r1', 'D07r10', 'D07r11', 'D07r12', 'D07r13', 'D07r14', 'D07r15', 'D07r16', 'D07r17', 'D07r2', 'D07r3', 'D07r4', 'D07r5', 'D07r6', 'D07r7', 'D07r8', 'D07r9', 'D07r98']",,Count,,,Yes,
86,"['D30r1', 'D30r10', 'D30r11', 'D30r12', 'D30r13', 'D30r14', 'D30r15', 'D30r16', 'D30r17', 'D30r18', 'D30r19', 'D30r2', 'D30r20', 'D30r21', 'D30r22', 'D30r23', 'D30r3', 'D30r4', 'D30r5', 'D30r6', 'D30r7', 'D30r8', 'D30r9', 'D30r98']",,Count,,,Yes,
87,"['E01r1', 'E01r10', 'E01r11', 'E01r12', 'E01r13', 'E01r14', 'E01r15', 'E01r16', 'E01r17', 'E01r18', 'E01r19', 'E01r2', 'E01r20', 'E01r21', 'E01r22', 'E01r23', 'E01r24', 'E01r25', 'E01r26', 'E01r27', 'E01r28', 'E01r29', 'E01r3', 'E01r30', 'E01r4', 'E01r5', 'E01r6', 'E01r7', 'E01r8', 'E01r9', 'E01r99']",E01r99,Count,,,Yes,
88,"['E02r1', 'E02r10', 'E02r11', 'E02r12', 'E02r13', 'E02r14', 'E02r15', 'E02r16', 'E02r17', 'E02r18', 'E02r19', 'E02r2', 'E02r20', 'E02r21', 'E02r22', 'E02r23', 'E02r24', 'E02r25', 'E02r26', 'E02r27', 'E02r28', 'E02r29', 'E02r3', 'E02r30', 'E02r4', 'E02r5', 'E02r6', 'E02r7', 'E02r8', 'E02r9', 'E02r98', 'E02r99']",E02r99,Count,,,Yes,
89,"['E04r1', 'E04r10', 'E04r11', 'E04r12', 'E04r13', 'E04r14', 'E04r15', 'E04r16', 'E04r17', 'E04r2', 'E04r3', 'E04r4', 'E04r5', 'E04r6', 'E04r7', 'E04r8', 'E04r9']",,Count,,,Yes,
90,"['E05r1', 'E05r10', 'E05r11', 'E05r12', 'E05r13', 'E05r14', 'E05r15', 'E05r2', 'E05r3', 'E05r4', 'E05r5', 'E05r6', 'E05r7', 'E05r8', 'E05r9']",,Count,,,Yes,
91,"['E07r1', 'E07r10', 'E07r11', 'E07r12', 'E07r13', 'E07r14', 'E07r15', 'E07r16', 'E07r17', 'E07r18', 'E07r19', 'E07r2', 'E07r20', 'E07r21', 'E07r22', 'E07r23', 'E07r24', 'E07r25', 'E07r26', 'E07r27', 'E07r28', 'E07r29', 'E07r3', 'E07r30', 'E07r4', 'E07r5', 'E07r6', 'E07r7', 'E07r8', 'E07r9', 'E07r99']",E07r99,Count,,,Yes,
92,"['E09r1', 'E09r10', 'E09r11', 'E09r2', 'E09r3', 'E09r4', 'E09r5', 'E09r6', 'E09r7', 'E09r8', 'E09r9']",,Count,,,Yes,
93,"['F01r1', 'F01r10', 'F01r11', 'F01r12', 'F01r13', 'F01r14', 'F01r15', 'F01r16', 'F01r17', 'F01r18', 'F01r19', 'F01r2', 'F01r20', 'F01r21', 'F01r22', 'F01r23', 'F01r24', 'F01r25', 'F01r26', 'F01r27', 'F01r28', 'F01r29', 'F01r3', 'F01r30', 'F01r4', 'F01r5', 'F01r6', 'F01r7', 'F01r8', 'F01r9', 'F01r98', 'F01r99']",F01r99,Count,,,Yes,
94,"['F02r1', 'F02r10', 'F02r11', 'F02r12', 'F02r13', 'F02r14', 'F02r15', 'F02r16', 'F02r17', 'F02r2', 'F02r3', 'F02r4', 'F02r5', 'F02r6', 'F02r7', 'F02r8', 'F02r9']",,Count,,,Yes,
95,"['F03r1', 'F03r10', 'F03r11', 'F03r12', 'F03r13', 'F03r14', 'F03r15', 'F03r16', 'F03r17', 'F03r18', 'F03r19', 'F03r2', 'F03r20', 'F03r21', 'F03r22', 'F03r23', 'F03r24', 'F03r25', 'F03r26', 'F03r27', 'F03r28', 'F03r29', 'F03r3', 'F03r30', 'F03r4', 'F03r5', 'F03r6', 'F03r7', 'F03r8', 'F03r9', 'F03r99']",F03r99,Count,,,Yes,
96,"['P15r1', 'P15r10', 'P15r11', 'P15r12', 'P15r13', 'P15r14', 'P15r15', 'P15r16', 'P15r17', 'P15r18', 'P15r19', 'P15r2', 'P15r20', 'P15r21', 'P15r22', 'P15r23', 'P15r24', 'P15r3', 'P15r4', 'P15r5', 'P15r6', 'P15r7', 'P15r8', 'P15r9']",,Count,,,Yes,
97,,,Block Multi-to-Multi Compound,,"Block Multi-to-Multi Compound: A23, A25 to A27 (Block if A25 ≠ and A23 = 1)",No,"df_check = df.query(""(A23 == '1' and (A27r1.notna() or A27r2.notna() or A27r3.notna() or A27r4.notna() or A27r5.notna() or A27r6.notna() or A27r99.notna())) or (A25 in ['No', 'I prefer not to say'] and (A27r1.notna() or A27r2.notna() or A27r3.notna() or A27r4.notna() or A27r5.notna() or A27r6.notna() or A27r99.notna()))"")[[""A23"", ""A25"", ""A27r1"", ""A27r2"", ""A27r3"", ""A27r4"", ""A27r5"", ""A27r6"", ""A27r99""]]"
98,,,Sum Across Questions,,Sum of B08r cols = B05,Yes,"df_check = df.query(""B05.notna() and (B08r1 + B08r2 + B08r3 + B08r4 + B08r5 + B08r6 + B08r98 != B05)"")[[""B05"", ""B08r1"", ""B08r2"", ""B08r3"", ""B08r4"", ""B08r5"", ""B08r6"", ""B08r98""]]"
99,,,Inequalities,,B12 > B01r3,No,"df_check = df.query(""B12 < B03r3"")[[""B12"", ""B03r3""]]"
100,,,Sum Across Questions,, Sum C05r = C01,Yes,"df_check = df.query(""(C05r1 + C05r2 + C05r3 + C05r4 + C05r5 + C05r6 + C05r98 != C01) and not (C05r1.isna() and C05r2.isna() and C05r3.isna() and C05r4.isna() and C05r5.isna() and C05r6.isna() and C05r98.isna())"")[[""C05r1"", ""C05r2"", ""C05r3"", ""C05r4"", ""C05r5"", ""C05r6"", ""C05r98"", ""C01""]]"
